,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Coef.,S.E.,p-value,Coef.,S.E.,Coef.,S.E.
OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,505,"(2,7)",496,"(2,7)",488,"(4,1)",496,"(3,4)",505,"(2,8)",499,"(2,5)",493,"(2,3)",-12,"(5,4)",-4,"(8,5)",5,"(7,0)",-3,"(5,4)",-13,"(5,2)",-7,"(5,2)","-0,4","(1,3)","0,745 ","0,5","(0,7)","0,0","(0,0)"
Germany,484,"(2,5)",491,"(3,4)",495,"(4,4)",497,"(2,7)",508,"(2,8)",509,"(3,0)",498,"(3,0)",14,"(5,6)",7,"(9,0)",3,"(7,5)",1,"(5,3)",-9,"(5,6)",-11,"(5,8)","3,3","(1,3)","0,015 ","-0,9","(0,7)","-0,1","(0,0)"
Greece,474,"(5,0)",472,"(4,1)",460,"(4,0)",483,"(4,3)",477,"(3,3)",467,"(4,3)",457,"(3,6)",-16,"(7,4)",-15,"(9,5)",-2,"(7,5)",-25,"(6,6)",-20,"(6,1)",-10,"(6,9)","-1,5","(1,5)","0,293 ","-2,5","(0,9)","-0,1","(0,1)"
Hungary,480,"(4,0)",482,"(2,5)",482,"(3,3)",494,"(3,2)",488,"(3,2)",470,"(2,7)",476,"(2,3)",-4,"(6,1)",-6,"(8,5)",-6,"(6,6)",-18,"(5,2)",-12,"(5,4)",6,"(5,3)","-1,1","(1,4)","0,416 ","-3,0","(0,7)","-0,1","(0,0)"
Iceland,507,"(1,5)",492,"(1,6)",484,"(1,9)",500,"(1,4)",483,"(1,8)",482,"(2,0)",474,"(1,7)",-33,"(4,6)",-18,"(8,1)",-10,"(5,9)",-26,"(4,2)",-9,"(4,5)",-8,"(4,7)","-4,4","(1,3)","0,000 ","-1,4","(0,4)","0,0","(0,0)"
Ireland,527,"(3,2)",515,"(2,6)",517,"(3,5)",496,"(3,0)",523,"(2,6)",521,"(2,5)",518,"(2,2)",-9,"(5,6)",3,"(8,5)",1,"(6,7)",22,"(5,1)",-5,"(5,1)",-3,"(5,2)","-0,3","(1,3)","0,824 ","2,8","(0,6)","0,2","(0,0)"
Israel,452,"(8,5)",m,m,439,"(4,6)",474,"(3,6)",486,"(5,0)",479,"(3,8)",470,"(3,7)",18,"(10,1)",m,m,32,"(7,9)",-4,"(6,3)",-15,"(7,2)",-9,"(6,6)","6,1","(1,9)","0,001 ","-1,0","(1,2)","-0,2","(0,1)"
Italy,487,"(2,9)",476,"(3,0)",469,"(2,4)",486,"(1,6)",490,"(2,0)",485,"(2,7)",476,"(2,4)",-11,"(5,5)",1,"(8,7)",8,"(6,3)",-10,"(4,6)",-13,"(4,9)",-8,"(5,3)","0,2","(1,3)","0,862 ","0,1","(0,5)","0,0","(0,0)"
Japan,522,"(5,2)",498,"(3,9)",498,"(3,6)",520,"(3,5)",538,"(3,7)",516,"(3,2)",504,"(2,7)",-18,"(7,1)",6,"(9,1)",6,"(6,9)",-16,"(5,6)",-34,"(5,9)",-12,"(5,7)","0,8","(1,4)","0,594 ","-1,1","(0,8)","-0,1","(0,0)"
Korea,525,"(2,4)",534,"(3,1)",556,"(3,8)",539,"(3,5)",536,"(3,9)",517,"(3,5)",514,"(2,9)",-11,"(5,6)",-20,"(8,9)",-42,"(7,1)",-25,"(5,7)",-22,"(6,2)",-3,"(6,0)","-3,1","(1,3)","0,021 ","-6,7","(0,7)","-0,3","(0,0)"
